From_loc,To_loc,timing,date
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Muvattupuzha,Kumily,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Kumily,Ernakulam,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Kumily,Ernakulam,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,2 - 6,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Kollam,Oachira,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Oachira,Kollam,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,04-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Kollam,Oachira,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,6 - 10,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Muvattupuzha,Kumily,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021
Ponkunnam,Kozhikkode,6 - 11,05-06-2021
Ponkunnam,Kozhikkode,6 - 11,05-06-2021
Ponkunnam,Kozhikkode,6 - 11,05-06-2021
Ponkunnam,Kozhikkode,6 - 11,05-06-2021
Ponkunnam,Kozhikkode,6 - 11,05-06-2021
Ponkunnam,Kozhikkode,2 - 6,05-06-2021